Excitation Current (A),Shaft Speed (RPM),Torque (Nm)
0.5,0,0.0
0.5,10,10013832.220070612
0.5,20,20027664.440141223
0.5,30,30041496.66021183
0.5,40,40055328.88028245
0.5,50,50069161.10035306
0.5,60,60082993.32042366
0.5,70,70096825.54049428
0.5,80,80110657.7605649
0.5,90,90124489.9806355
0.5,100,100138322.20070612
0.5,110,110152154.42077674
0.5,120,120165986.64084733
0.5,130,130179818.86091793
0.5,140,140193651.08098856
0.5,150,150207483.3010592
0.5,160,160221315.5211298
0.5,170,170235147.7412004
0.5,180,180248979.961271
0.5,190,190262812.18134165
0.5,200,200276644.40141225
0.5,210,210290476.62148285
0.5,220,220304308.84155348
0.5,230,230318141.06162408
0.5,240,240331973.28169465
0.5,250,250345805.50176528
0.5,260,260359637.72183585
0.5,270,270373469.9419065
0.5,280,280387302.1619771
0.5,290,290401134.3820477
0.5,300,300414966.6021184
0.5,310,310428798.8221889
0.5,320,320442631.0422596
0.5,330,330456463.2623301
0.5,340,340470295.4824008
0.5,350,350484127.7024713
0.5,360,360497959.922542
0.5,370,370511792.14261264
0.5,380,380525624.3626833
0.5,390,390539456.58275384
0.5,400,400553288.8028245
0.5,410,410567121.02289504
0.5,420,420580953.2429657
0.5,430,430594785.4630363
0.5,440,440608617.68310696
0.5,450,450622449.90317744
0.5,460,460636282.12324816
0.5,470,470650114.3433187
0.5,480,480663946.5633893
0.5,490,490677778.78345996
0.5,500,500691611.00353056
0.5,510,510705443.2236012
0.5,520,520719275.4436717
0.5,530,530733107.6637424
0.5,540,540746939.883813
0.5,550,550760772.1038836
0.5,560,560774604.3239542
0.5,570,570788436.544025
0.5,580,580802268.7640954
0.5,590,590816100.984166
0.5,600,600829933.2042367
0.5,610,610843765.4243073
0.5,620,620857597.6443778
0.5,630,630871429.8644485
0.5,640,640885262.0845191
0.5,650,650899094.3045897
0.5,660,660912926.5246602
0.5,670,670926758.744731
0.5,680,680940590.9648015
0.5,690,690954423.1848723
0.5,700,700968255.4049426
0.5,710,710982087.6250134
0.5,720,720995919.845084
0.5,730,731009752.0651547
0.5,740,741023584.2852253
0.5,750,751037416.5052959
0.5,760,761051248.7253666
0.5,770,771065080.9454371
0.5,780,781078913.1655077
0.5,790,791092745.3855783
0.5,800,801106577.605649
0.5,810,811120409.8257195
0.5,820,821134242.0457901
0.5,830,831148074.2658607
0.5,840,841161906.4859314
0.5,850,851175738.7060018
0.5,860,861189570.9260726
0.5,870,871203403.1461432
0.5,880,881217235.3662139
0.5,890,891231067.5862845
0.5,900,901244899.8063549
0.5,910,911258732.0264256
0.5,920,921272564.2464963
0.5,930,931286396.4665668
0.5,940,941300228.6866374
0.5,950,951314060.9067082
0.5,960,961327893.1267786
0.5,970,971341725.3468493
0.5,980,981355557.5669199
0.5,990,991369389.7869905
0.5,1000,1001383222.0070611
0.5,1010,1011397054.2271317
0.5,1020,1021410886.4472024
0.5,1030,1031424718.667273
0.5,1040,1041438550.8873434
0.5,1050,1051452383.1074142
0.5,1060,1061466215.3274848
0.5,1070,1071480047.5475556
0.5,1080,1081493879.767626
0.5,1090,1091507711.9876966
0.5,1100,1101521544.2077672
0.5,1110,1111535376.427838
0.5,1120,1121549208.6479084
0.5,1130,1131563040.867979
0.5,1140,1141576873.08805
0.5,1150,1151590705.3081203
0.5,1160,1161604537.5281909
0.5,1170,1171618369.7482615
0.5,1180,1181632201.968332
0.5,1190,1191646034.188403
0.5,1200,1201659866.4084735
0.5,1210,1211673698.628544
0.5,1220,1221687530.8486147
0.5,1230,1231701363.068685
0.5,1240,1241715195.2887557
0.5,1250,1251729027.5088265
0.5,1260,1261742859.728897
0.5,1270,1271756691.9489677
0.5,1280,1281770524.1690383
0.5,1290,1291784356.389109
0.5,1300,1301798188.6091795
0.5,1310,1311812020.8292503
0.5,1320,1321825853.0493205
0.5,1330,1331839685.2693913
0.5,1340,1341853517.489462
0.5,1350,1351867349.7095325
0.5,1360,1361881181.929603
0.5,1370,1371895014.1496737
0.5,1380,1381908846.3697445
0.5,1390,1391922678.5898151
0.5,1400,1401936510.8098853
0.5,1410,1411950343.0299563
0.5,1420,1421964175.2500267
0.5,1430,1431978007.4700978
0.5,1440,1441991839.690168
0.5,1450,1452005671.9102387
0.5,1460,1462019504.1303093
0.5,1470,1472033336.35038
0.5,1480,1482047168.5704505
0.5,1490,1492061000.7905211
0.5,1500,1502074833.0105917
0.5,1510,1512088665.230662
0.5,1520,1522102497.4507332
0.5,1530,1532116329.6708035
0.5,1540,1542130161.8908741
0.5,1550,1552143994.1109447
0.5,1560,1562157826.3310153
0.5,1570,1572171658.5510862
0.5,1580,1582185490.7711565
0.5,1590,1592199322.991227
0.5,1600,1602213155.211298
0.5,1610,1612226987.4313684
0.5,1620,1622240819.651439
0.5,1630,1632254651.8715096
0.5,1640,1642268484.0915802
0.5,1650,1652282316.311651
0.5,1660,1662296148.5317214
0.5,1670,1672309980.7517922
0.5,1680,1682323812.9718628
0.5,1690,1692337645.1919336
0.5,1700,1702351477.4120035
0.5,1710,1712365309.6320748
0.5,1720,1722379141.8521452
0.5,1730,1732392974.0722156
0.5,1740,1742406806.2922864
0.5,1750,1752420638.512357
0.5,1760,1762434470.7324278
0.5,1770,1772448302.9524982
0.5,1780,1782462135.172569
0.5,1790,1792475967.3926394
0.5,1800,1802489799.6127098
0.5,1810,1812503631.8327806
0.5,1820,1822517464.0528512
0.5,1830,1832531296.2729218
0.5,1840,1842545128.4929926
0.5,1850,1852558960.7130632
0.5,1860,1862572792.9331336
0.5,1870,1872586625.1532044
0.5,1880,1882600457.3732748
0.5,1890,1892614289.5933452
0.5,1900,1902628121.8134165
0.5,1910,1912641954.0334868
0.5,1920,1922655786.2535572
0.5,1930,1932669618.473628
0.5,1940,1942683450.6936986
0.5,1950,1952697282.9137695
0.5,1960,1962711115.1338398
0.5,1970,1972724947.3539107
0.5,1980,1982738779.573981
0.5,1990,1992752611.7940514
0.5,2000,2002766444.0141222
0.5,2010,2012780276.2341928
0.5,2020,2022794108.4542634
0.5,2030,2032807940.6743343
0.5,2040,2042821772.894405
0.5,2050,2052835605.1144753
0.5,2060,2062849437.334546
0.5,2070,2072863269.5546165
0.5,2080,2082877101.7746868
0.5,2090,2092890933.9947581
0.5,2100,2102904766.2148285
0.5,2110,2112918598.4348989
0.5,2120,2122932430.6549697
0.5,2130,2132946262.8750403
0.5,2140,2142960095.0951111
0.5,2150,2152973927.3151813
0.5,2160,2162987759.535252
0.5,2170,2173001591.7553225
0.5,2180,2183015423.9753933
0.5,2190,2193029256.195464
0.5,2200,2203043088.4155345
0.5,2210,2213056920.6356053
0.5,2220,2223070752.855676
0.5,2230,2233084585.0757465
0.5,2240,2243098417.295817
0.5,2250,2253112249.5158877
0.5,2260,2263126081.735958
0.5,2270,2273139913.9560285
0.5,2280,2283153746.1761
0.5,2290,2293167578.3961697
0.5,2300,2303181410.6162405
0.5,2310,2313195242.8363113
0.5,2320,2323209075.0563817
0.5,2330,2333222907.2764525
0.5,2340,2343236739.496523
0.5,2350,2353250571.7165937
0.5,2360,2363264403.936664
0.5,2370,2373278236.156735
0.5,2380,2383292068.376806
0.5,2390,2393305900.596876
0.5,2400,2403319732.816947
0.5,2410,2413333565.0370173
0.5,2420,2423347397.257088
0.5,2430,2433361229.4771585
0.5,2440,2443375061.6972294
0.5,2450,2453388893.9172997
0.5,2460,2463402726.13737
0.5,2470,2473416558.357441
0.5,2480,2483430390.5775113
