,True Torque (Nm),Predicted Torque (Nm)
0,6408852620.845192,6429931000.0
1,8151259427.137476,8139364400.0
2,8972393669.183268,8955809000.0
3,16077207629.323368,16107650000.0
4,12196847644.046003,12249146000.0
5,10634689817.714989,10635130000.0
6,2137953178.985076,2135056400.0
7,5257261915.537071,5266118700.0
8,190262812.1813416,315873060.0
9,1802489799.6127093,1851951500.0
10,5407469398.83813,5404311000.0
11,21629877595.35252,21757123000.0
12,6939585728.508934,6982816300.0
13,4756570304.533541,4763575300.0
14,9553195937.947365,9569937000.0
15,1572171658.5510862,1650755300.0
16,726002835.9551193,722364350.0
17,1011397054.2271316,1018383940.0
18,2027801024.5642984,2095563500.0
19,1081493879.767626,1061366900.0
20,9132614984.7044,9173484000.0
21,6994661805.71932,7058057000.0
22,25134718872.377228,25159023000.0
23,480663946.5633893,504182560.0
24,11956515670.76431,12011340000.0
25,3559917354.235103,3621542000.0
26,6088409989.802933,6142260000.0
27,18160084731.098053,18199896000.0
28,16402657176.475662,16433266000.0
29,10364316347.773085,10378106000.0
30,10614662153.274849,10643444000.0
31,1527109413.560768,1538282200.0
32,1757427554.6223924,1821581600.0
33,26837070349.789234,26849333000.0
34,5642794456.009789,5715099000.0
35,3379668374.2738304,3420140000.0
36,9973776891.190329,10006565000.0
37,16422684840.915804,16498677000.0
38,15621578263.310156,15694848000.0
39,25034580550.176525,25059242000.0
40,520719275.4436718,588129300.0
41,17804593687.285545,17835088000.0
42,7149876205.130416,7197137000.0
43,6308714298.6444845,6388805000.0
44,3229460890.972772,3271139600.0
45,4130705790.779127,4160804400.0
46,2803873021.6197705,2927793400.0
47,23933059005.96876,23969733000.0
48,20738646527.766235,20763030000.0
49,2283153746.1761,2268951600.0
50,10724814307.695623,10720815000.0
51,801106577.605649,865642430.0
52,13538701161.53547,13581235000.0
53,13769019302.597088,13877347000.0
54,11065284603.178026,11084748000.0
55,19451869087.48716,19498824000.0
56,3925422230.2676797,3919099000.0
57,6809405909.648016,6873427500.0
58,15506419192.77934,15468076000.0
59,8531785051.500161,8596942000.0
60,13824095379.807474,13834842000.0
61,3725145585.866268,3751502300.0
62,3955463726.927891,3967287300.0
63,6248631305.324061,6390265000.0
64,12997954221.651651,12990922000.0
65,6519004775.265968,6610254000.0
66,3805256243.6268325,3856740900.0
67,26136102094.384293,26155750000.0
68,2803873021.6197705,2819959300.0
69,7330125185.091689,7391130000.0
70,12417151952.887558,12464719000.0
71,4746556472.31347,4794290000.0
72,4005532888.028245,4014593000.0
73,2393305900.596876,2517238300.0
74,3079253407.671713,3195214600.0
75,21990375555.275063,22128394000.0
76,6724288335.777415,6791877000.0
77,715989003.7350485,735680700.0
78,9873638568.989622,9881767000.0
79,2974108169.3609715,3054075000.0
80,17063570103.000322,17103894000.0
81,11656100704.162191,11674331000.0
82,16072200713.213331,16106303000.0
83,9463071447.966728,9480416000.0
84,50069161.10035305,142358910.0
85,26446530893.20649,26544690000.0
86,11415768730.880495,11473200000.0
87,5482573140.48866,5548812300.0
88,5046971438.915588,5160402400.0
89,21179255145.449345,21267755000.0
90,5747939694.320531,5851114500.0
91,14870540846.80486,14858443000.0
92,8636930289.810902,8675663000.0
93,6909544231.848722,6970458000.0
94,13809074631.477371,13827267000.0
95,600829933.2042367,588255170.0
96,4956846948.934952,4964978000.0
97,2703734699.419065,2797679900.0
98,3439751367.5942554,3511302400.0
99,360497959.922542,354058460.0
100,10048880632.84086,10053192000.0
101,10354302515.55301,10308674000.0
102,6789378245.207874,6868788700.0
103,11606031543.061838,11633439000.0
104,11355685737.560074,11340698000.0
105,1321825853.0493205,1393834400.0
106,22130569206.35605,22268586000.0
107,9568216686.277468,9531028000.0
108,21309434964.31026,21343530000.0
109,1562157826.331015,1640899800.0
110,450622449.9031776,427044400.0
111,9853610904.54948,9891086000.0
112,13969295946.9985,14058958000.0
113,20127802762.341927,20191840000.0
114,8757096276.451746,8739790000.0
115,14660250370.183374,14686319000.0
116,18645755593.77148,18640343000.0
117,2974108169.360971,3025579800.0
118,9322877796.885738,9431257000.0
119,8161273259.357548,8138566700.0
120,1351867349.7095325,1364025500.0
121,18931149812.04349,18980559000.0
122,270373469.9419065,243387860.0
123,18785949244.852467,18786865000.0
124,6458921781.945544,6544997000.0
125,19627111151.338394,19665633000.0
126,1772448302.9524982,1863703800.0
127,23237097666.67385,23421854000.0
128,25054608214.616676,25213960000.0
129,5547663049.91912,5531595300.0
130,4556293660.132128,4599759400.0
131,1682323812.9718628,1777747200.0
132,5497593888.818766,5527009000.0
133,3444758283.7042904,3570986800.0
134,2062849437.3345463,2077905200.0
135,3264509303.743019,3306526500.0
136,2873969847.160265,2888760800.0
137,8336515323.208782,8362768400.0
138,1161604537.5281909,1153446700.0
139,791092745.3855783,859084000.0
140,14369849235.801329,14390133000.0
141,22380915011.85781,22488396000.0
142,3514855109.244785,3544509200.0
143,9252780971.345243,9292830000.0
144,7084786295.699957,7156343300.0
145,1682323812.9718628,1693086100.0
146,1607220071.3213334,1600615000.0
147,11490872472.531029,11486195000.0
148,11716183697.482616,11827883000.0
149,1672309980.7517922,1765434200.0
150,3529875857.5748906,3594887700.0
151,29140251760.40548,29018495000.0
152,2378285152.2667704,2348092000.0
153,11255547415.35937,11306330000.0
154,7109820876.250133,7128809500.0
155,14540084383.542528,14570467000.0
156,1266749775.8389325,1292203000.0
157,28639560149.40195,28555178000.0
158,1992752611.7940516,2118859100.0
159,4250871777.419975,4294594000.0
160,5607746043.239543,5675252000.0
161,5507607721.038836,5462216000.0
162,23332229072.764523,23376440000.0
163,8466695142.069702,8524087300.0
164,6669212258.567027,6691136500.0
165,1892614289.5933459,1994334700.0
166,13218258530.493208,13233662000.0
167,1141576873.08805,1093197400.0
168,3254495471.5229483,3296147700.0
169,11355685737.560072,11353862000.0
170,16222408196.514387,16252301000.0
171,19216544030.315502,19265925000.0
172,230318141.06162408,96665620.0
173,7930955118.295924,7955693000.0
174,675933674.8547662,719703600.0
175,5046971438.915588,5015836700.0
176,8291453078.218468,8266296000.0
177,29741081693.609715,29568274000.0
178,5377427902.177918,5378452000.0
179,10053887548.950891,10116616000.0
180,4526252163.471916,4515469300.0
181,1396929594.6998503,1415624600.0
182,2984122001.5810423,3053981400.0
183,8011065776.056488,8022178000.0
184,3054218827.1215363,3077874200.0
185,4125698874.6690927,4168854500.0
186,8271425413.778325,8353537000.0
187,14760388692.38408,14830316000.0
188,1051452383.107414,1033442300.0
189,1842545128.4929929,1840307800.0
190,3965477559.147962,4053125400.0
191,5407469398.83813,5475497000.0
192,5537649217.699049,5526006300.0
193,15621578263.310156,15674743000.0
194,17023514774.120033,17036348000.0
195,150207483.3010592,-37195784.0
196,10814938797.67626,10807079000.0
197,1502074833.0105915,1494501500.0
198,2643651706.098642,2651778000.0
199,13779033134.817162,13842273000.0
200,1817510547.942816,1897723400.0
201,736016668.17519,747163970.0
202,3785228579.1866918,3798983700.0
203,3154357149.3222423,3231187500.0
204,6218589808.66385,6262292500.0
205,650899094.3045897,616977500.0
206,14299752410.260832,14333144000.0
207,14129517262.51963,14140868000.0
208,8932338340.302986,8923748000.0
209,1877593541.2632399,1966092300.0
210,27778370578.47588,27798634000.0
211,10139005122.821491,10187105000.0
212,1857565876.823099,1883059600.0
213,5828050352.081096,5958881300.0
214,11035243106.517813,11073501000.0
215,2072863269.554617,2096476900.0
216,3004149666.0211835,3094179000.0
217,2643651706.098641,2660477700.0
218,7510374165.052959,7554227000.0
219,5107054432.236012,5120366000.0
220,9633306595.70793,9604235000.0
221,70096825.54049428,104264640.0
222,841161906.4859312,912565200.0
223,3625007263.665561,3614770700.0
224,6734302167.997485,6771245000.0
225,8526778135.390126,8650575000.0
226,4606362821.23248,4613852700.0
227,2523485719.4577937,2623618300.0
228,3604979599.22542,3680887800.0
229,400553288.8028245,405889540.0
